 Constantinople. Mme Annette Langerrois : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Langerrois, Annette (18..-18..) -- Portraits Relancer la recherche sur ce sujet dans Gallica# Girault de Prangey , Philibert-Joseph (1804-1892) -- Amis et relations Relancer la recherche sur ce sujet dans Gallica# Orientalisme Relancer la recherche sur ce sujet dans Gallica# Vêtements -- Influence orientale Relancer la recherche sur ce sujet dans Gallica# Portraits d'intérieur -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b6903016n# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG3-727# http://catalogue.bnf.fr/ark:/12148/cb40331162p# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 12 x 9,5 cm (im.), 12 x 9,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Vieux Kaire. Soliman Pacha et ses enfans : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Soliman Pacha (1788-1860) -- Famille -- Portraits Relancer la recherche sur ce sujet dans Gallica# Girault de Prangey , Philibert-Joseph (1804-1892) -- Amis et relations -- Influence Relancer la recherche sur ce sujet dans Gallica# Photographie de famille Relancer la recherche sur ce sujet dans Gallica# Orientalisme -- Influence Relancer la recherche sur ce sujet dans Gallica# Le Caire (Egypte) -- Quartier de Fustat Relancer la recherche sur ce sujet dans Gallica# Portraits d'intérieur avec décor -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b69030120# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG3-723# http://catalogue.bnf.fr/ark:/12148/cb40331128h# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 12 x 9,5 cm (im.), 12 x 9,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Kaire. Ayoucha assise : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Girault de Prangey , Philibert-Joseph (1804-1892) -- Amis et relations Relancer la recherche sur ce sujet dans Gallica# Narguilés Relancer la recherche sur ce sujet dans Gallica# Femmes -- Égypte -- 19e siècle Relancer la recherche sur ce sujet dans Gallica# Fumeurs -- Égypte -- 19e siècle Relancer la recherche sur ce sujet dans Gallica# Portraits d'intérieur avec décor -- 1800-1869 Relancer la recherche sur ce sujet dans Gallica# Portraits -- 1800-1869 Relancer la recherche sur ce sujet dans Gallica# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b6903014t# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG3-725# http://catalogue.bnf.fr/ark:/12148/cb40331131d# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 9,5 x 12 cm (im.), 9,5 x 12 cm (sous-verre)#image/jpeg#Nombre total de vues : 1#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de). Ancien possesseur
 Alep. Mme Virginie Vincent : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Vincent, Virginie (18..-18..) -- Portraits Relancer la recherche sur ce sujet dans Gallica# Girault de Prangey , Philibert-Joseph (1804-1892) -- Amis et relations Relancer la recherche sur ce sujet dans Gallica# Femmes Relancer la recherche sur ce sujet dans Gallica# Alep (Syrie) Relancer la recherche sur ce sujet dans Gallica# Vêtements -- Influence orientale Relancer la recherche sur ce sujet dans Gallica# Portraits -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b6903020j# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG3-731# http://catalogue.bnf.fr/ark:/12148/cb40331164c# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 12 x 9,5 cm (im.), 12 x 9,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Kaire. Perron et sa famille : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Perron (18..-18..) -- Famille Relancer la recherche sur ce sujet dans Gallica# Girault de Prangey , Philibert-Joseph (1804-1892) -- Amis et relations Relancer la recherche sur ce sujet dans Gallica# Photographie de famille Relancer la recherche sur ce sujet dans Gallica# Globes célestes Relancer la recherche sur ce sujet dans Gallica# Encriers Relancer la recherche sur ce sujet dans Gallica# Cafetières Relancer la recherche sur ce sujet dans Gallica# Le Caire (Égypte) Relancer la recherche sur ce sujet dans Gallica# Orientalisme -- Influence Relancer la recherche sur ce sujet dans Gallica# Portraits d'intérieur avec décor -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b6903013d# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG3-724# http://catalogue.bnf.fr/ark:/12148/cb403311302# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 9,5 x 12 cm (im.), 9,5 x 12 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Samarie. Eglise. Chap. Int. : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# image fixe# image# still image# photographie# photograph# domaine public# public domain# ark:/12148/btv1b6902827w# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG2-789# http://catalogue.bnf.fr/ark:/12148/cb40334748h# Bibliothèque nationale de France# 01/08/2008#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 8,5 x 5,8 cm (im.), 9,5 x 6,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Magnésie. Moulins : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# image fixe# image# still image# photographie# photograph# domaine public# public domain# ark:/12148/btv1b6902813v# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG2-775# http://catalogue.bnf.fr/ark:/12148/cb40334658j# Bibliothèque nationale de France# 01/08/2008#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 8,5 x 7,5 cm (im.), 9,5 x 8,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
 Liban. 1844. Les cèdres. 248 : [photographie] / Joseph-Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1844# Cèdres -- Liban Relancer la recherche sur ce sujet dans Gallica# Représentations végétales -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b69034858# Bibliothèque nationale de France, Rés. Eg7-761# http://catalogue.bnf.fr/ark:/12148/cb40331934n# Bibliothèque nationale de France# 09/05/2011#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 18 x 23,5 cm (im.), 18,5 x 24 cm (sous-verre)#image/jpeg#Référence bibliographique : 282#Référence bibliographique : cat. 51
 Alexandrie : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Dattier -- Égypte -- Alexandrie (Égypte) Relancer la recherche sur ce sujet dans Gallica# Représentations végétales -- 1800-1869# image fixe# image# still image# sans contenu linguistique# domaine public# public domain# ark:/12148/btv1b55000543k# Bibliothèque nationale de France, département Estampes et photographie, RESERVEEG2-869# http://catalogue.bnf.fr/ark:/12148/cb41409628h# Bibliothèque nationale de France# 16/11/2011#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 9,5 x 8,2 cm#image/jpeg#Collectionneur : Jammes, André (1927-....)#Collectionneur : Jammes, Marie-Thérèse#Collectionneur : Simony, Charles de (Cte Anne Marie Charles de)
 Philé. Rochers : [photographie] / Joseph Philibert Girault de Prangey# Girault de Prangey , Philibert-Joseph (1804-1892). Photographe Ne voir que les résultats de cet auteur# 1842-1844# Rochers Relancer la recherche sur ce sujet dans Gallica# Philae (Égypte ; île) Relancer la recherche sur ce sujet dans Gallica# Paysages -- 1800-1869# image fixe# image# still image# domaine public# public domain# ark:/12148/btv1b6902794z# Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG2-708# http://catalogue.bnf.fr/ark:/12148/cb40330959r# Bibliothèque nationale de France# 01/02/2010#1 photogr. pos. directe sur cuivre argenté : daguerréotype, n. et b. ; 8 x 9,5 cm (im.), 8 x 9,5 cm (sous-verre)#image/jpeg#Ancien possesseur : Simony, Charles de (Cte Anne Marie Charles de)
